INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Nichols College,MA,2,0.7300275482,0.2552,58310.0,58063.0,27000.0,0.7588075881,1163.0,3,0
Massachusetts College of Liberal Arts,MA,1,0.6575,0.4127,26026.0,48102.0,23750.0,0.688372093,713.0,3,0
North Shore Community College,MA,1,0.6632016632,0.32,15896.0,45391.0,9000.0,0.6885880077,4393.0,2,0
Northeastern University,MA,2,0.8333333333,0.1234,84641.0,92538.0,24250.0,0.8671808055,17326.0,3,0
Northern Essex Community College,MA,1,0.6021505376,0.4674,13201.0,42862.0,9000.0,0.6432865731,3685.0,2,0
College of Our Lady of the Elms,MA,2,0.6755952381,0.4509,54027.0,51540.0,25000.0,0.7456647399,949.0,3,0
Quincy College,MA,1,0.5620689655,0.331,22528.0,52506.0,13874.0,0.6208955224,2300.0,2,0
Quinsigamond Community College,MA,1,0.6186556927,0.3819,15921.0,45949.0,16575.0,0.648447205,6447.0,2,0
Regis College,MA,2,0.7817258883,0.3101,65546.0,52873.0,25500.0,0.8349514563,956.0,3,0
Salem State University,MA,1,0.6770630279,0.3538,28291.0,56662.0,25000.0,0.7292057536,4291.0,3,0
Simmons University,MA,2,0.786377709,0.3318,63460.0,63494.0,24840.0,0.828438949,1670.0,3,0
Bard College at Simon's Rock,MA,2,0.7960893855,0.1699,85262.0,46543.0,24254.0,0.8388888889,225.0,2,0
Smith College,MA,2,0.798115747,0.1788,86030.0,64027.0,17550.0,0.8394062078,2544.0,3,0
Southeastern Technical Institute,MA,1,0.6171875,0.3184,,,8846.0,0.6515151515,260.0,1,0
Springfield College,MA,2,0.5884194053,0.2236,60729.0,48036.0,26250.0,0.6461538462,1751.0,3,0
Springfield Technical Community College,MA,1,0.618729097,0.5012,14971.0,36966.0,6570.0,0.6269592476,4759.0,2,0
University of Massachusetts-Dartmouth,MA,1,0.7508069722,0.3702,33485.0,68804.0,25000.0,0.8081321474,5221.0,3,0
Stonehill College,MA,2,0.8457711443,0.1706,72714.0,77745.0,25000.0,0.8784596871,2528.0,3,0
Suffolk University,MA,2,0.7241144414,0.2995,65281.0,67506.0,26889.0,0.7813738441,4268.0,3,0
Tufts University,MA,2,0.9368686869,0.1204,88300.0,83214.0,16250.0,0.9473023839,7061.0,3,0
Wellesley College,MA,2,0.9245283019,0.2113,86290.0,84803.0,10000.0,0.9256505576,2300.0,3,0
Wentworth Institute of Technology,MA,2,0.8713235294,0.2311,61096.0,82721.0,25028.0,0.9110091743,3747.0,3,0
Western New England University,MA,2,0.7771173848,0.2446,60262.0,73157.0,25500.0,0.8286908078,2603.0,3,0
Westfield State University,MA,1,0.7471751412,0.3295,27649.0,57346.0,22457.0,0.8010752688,3615.0,3,0
Wheaton College (Massachusetts),MA,2,0.8203125,0.2217,79311.0,67725.0,26000.0,0.8341708543,1773.0,3,0
Williams College,MA,2,0.845410628,0.1761,84860.0,88665.0,12761.0,0.8333333333,2076.0,3,0
Worcester Polytechnic Institute,MA,2,0.954075775,0.1188,78679.0,103470.0,27000.0,0.9642857143,5447.0,3,0
Worcester State University,MA,1,0.7364620939,0.3,22874.0,60624.0,19500.0,0.7738231917,3930.0,3,0
Adrian College,MI,2,0.7235294118,0.3081,56003.0,55504.0,27000.0,0.7555555556,1604.0,3,0
Albion College,MI,2,0.7741046832,0.4749,69986.0,58799.0,27000.0,0.7969924812,1300.0,3,0
Northwestern Technological Institute,MI,3,0.3051643192,0.5953,,41237.0,9500.0,0.3325471698,746.0,1,1
Alma College,MI,2,0.7443820225,0.2704,63650.0,54742.0,27000.0,0.7950819672,1148.0,3,0
Alpena Community College,MI,1,0.5845588235,0.217,12246.0,36442.0,9024.0,0.6170212766,732.0,2,0
Andrews University,MI,2,0.5308310992,0.2471,45218.0,53187.0,26000.0,0.603626943,1224.0,3,0
Aquinas College,MI,2,0.7007874016,0.239,51652.0,49584.0,23000.0,0.7205882353,1083.0,3,0
Baker College,MI,2,0.4543200209,0.3768,24526.0,35833.0,25000.0,0.5159994981,3026.0,3,0
